Type,Name/Price,Address,City,Zip,State,Category,Latitude,Longitude,Date
B,Subway,4487 Forest Park Blvd,Saint Louis,63108,MO,Fast Food,38.63845301,-90.25867224,10/22/2018
B,Subway,4149 Lindell Blvd,Saint Louis,63108,MO,Fast Food,38.6403901,-90.2472379,10/22/2018
B,Taco Bell,626 N Kings Highway Blvd,Saint Louis,63108,MO,Fast Food,38.650827,-90.263416,10/22/2018
B,Carrollton Bank,42 Hampton Village Plz,Saint Louis,63109,MO,Banks & Credit Unions,38.5930635,-90.2918611,10/22/2018
B,Bank of America,4301 Hampton Ave,Saint Louis,63109,MO,Banks & Credit Unions,38.59135818,-90.29558563,10/22/2018
B,Lindell Bank,3921 Hampton Ave,Saint Louis,63109,MO,Banks & Credit Unions,38.59394,-90.2944799,10/22/2018
B,First Community Credit Union,4249 Watson Rd,Saint Louis,63109,MO,Banks & Credit Unions,38.59285,-90.3022699,10/22/2018
B,Step Ahead Child Care,4501 Hampton Ave,Saint Louis,63109,MO,Child Care & Day Care,38.58954,-90.2947499,10/22/2018
B,Target,4255 Hampton Ave,Saint Louis,63109,MO,Department Stores,38.59254,-90.29557,10/22/2018
B,JCPenney,50 Hampton Village Plaza,Saint Louis,63109,MO,Department Stores,38.59167454,-90.29252375,10/22/2018
B,Gas Mart,6901 Hampton Ave,Saint Louis,63109,MO,Gas Stations/Convenience Stores,38.57385,-90.29516,10/22/2018
B,Total Access Urgent Care,6900 Chippewa St,Saint Louis,63109,MO,Hospitals/Urgent Care,38.5883733,-90.3095236,10/22/2018
B,Chippewa Accident & Family Care,6651 Chippewa St,Saint Louis,63109,MO,Hospitals/Urgent Care,38.59051895,-90.30587769,10/22/2018
B,McDonald's,4620 S Kingshighway,St. Louis,63109,MO,Fast Food,38.586273,-90.275726,10/22/2018
B,Lindenwood Drug,6903 Lansdowne Ave,Saint Louis,63109,MO,Pharmacy,38.59162,-90.31011,10/22/2018
B,Keller Apothecary,5346 Devonshire Ave,Saint Louis,63109,MO,Pharmacy,38.58752441,-90.28391266,10/22/2018
B,Walgreens,3920 Hampton Ave,Saint Louis,63109,MO,Pharmacy,38.59376,-90.2933,10/22/2018
B,Edibles & Essentials,5815 Hampton Ave,Saint Louis,63109,MO,Restaurant,38.5794801,-90.29411092,10/22/2018
B,Copper Pig,4611 Macklind Ave,Saint Louis,63109,MO,Restaurant,38.58748,-90.28436,10/22/2018
B,Kounter Kulture,3825 Watson Rd,St. Louis,63109,MO,Restaurant,38.59518,-90.30156,10/22/2018
B,Russell's on Macklind,5400 Murdoch Ave,Saint Louis,63109,MO,Restaurant,38.586689,-90.284507,10/22/2018
B,Schnucks - Hampton Village,60 Hampton Village Plz,St. Louis,63109,MO,Grocery,38.5931082,-90.2925643,10/22/2018
B,Schnucks - Gravois,7450 Hampton Ave,Saint Louis,63109,MO,Grocery,38.56557,-90.29378,10/22/2018
B,Starbucks,6622 Chippewa St,Saint Louis,63109,MO,Coffee & Tea,38.590613,-90.304927,10/22/2018
B,Starbucks,4255 Hampton Ave,Saint Louis,63109,MO,Coffee & Tea,38.59254,-90.29557,10/22/2018
B,Starbucks,3700 S Kingshighway Blvd,Saint Louis,63109,MO,Coffee & Tea,38.5929366,-90.2720705,10/22/2018
B,Subway,6918 Chippewa St,Saint Louis,63109,MO,Fast Food,38.58842,-90.30962,10/22/2018
B,U.S. Bank,216 S Kingshighway Blvd,Saint Louis,63110,MO,Banks & Credit Unions,38.63874054,-90.26435089,10/22/2018
B,Southwest Bank,2301 S Kingshighway Blvd,Saint Louis,63110,MO,Banks & Credit Unions,38.61196,-90.2684699,10/22/2018
B,Barnes-Jewish Hospital College,4483 Duncan Ave,Saint Louis,63110,MO,Colleges & Universities,38.6370424,-90.2592471,10/22/2018
B,St. Louis College of Pharmacy,4588 Parkview Pl,Saint Louis,63110,MO,Colleges & Universities,38.63747969,-90.26217386,10/22/2018
B,St Louis Community College,5600 Oakland Ave,Saint Louis,63110,MO,Colleges & Universities,38.6287018,-90.27941461,10/22/2018
B,Saint Louis Zoo,1 Government Dr,Saint Louis,63110,MO,Child Care & Day Care,38.63649774,-90.29242868,10/22/2018
B,QuikTrip,904 S Vandeventer Ave,Saint Louis Downtown,63110,MO,Gas Stations/Convenience Stores,38.6283907,-90.24617418,10/22/2018
B,Kingshighway & Manchester Amoco,1187 S Kingshighway Blvd,Saint Louis,63110,MO,Gas Stations/Convenience Stores,38.62611,-90.2653799,10/22/2018
B,City Greens Market,4260 Manchester Ave,Saint Louis,63110,MO,Grocery,38.626789,-90.256337,10/22/2018
B,DiGregorio's Market,5200 Daggett Ave,Saint Louis,63110,MO,Grocery,38.61661,-90.27291,10/22/2018
B,Shaw Market,4200 Shaw Ave,Saint Louis,63110,MO,Grocery,38.6181,-90.2739299,10/22/2018
B,Volpi Foods,5256 Daggett Ave,Saint Louis,63110,MO,Grocery,38.616679,-90.27466,10/22/2018
B,SSM Health Saint Louis University Hospital,3635 Vista Ave,Saint Louis,63110,MO,Hospitals/Urgent Care,38.622918,-90.238776,10/22/2018
B,St Louis Children's Hospital,1 Childrens Pl,Saint Louis,63110,MO,Hospitals/Urgent Care,38.6377499,-90.26491,10/22/2018
B,The Rehabilitation Institute of St. Louis,4455 Duncan Ave,Saint Louis,63110,MO,Hospitals/Urgent Care,38.6367755,-90.2579346,10/22/2018
B,Barnes-Jewish Hospital Breast Health Center,4921 Parkview Pl,St. Louis,63110,MO,Hospitals/Urgent Care,38.63818032,-90.26321086,10/22/2018
B,Siteman Cancer Center,4921 Parkview Pl,St. Louis,63110,MO,Hospitals/Urgent Care,38.6382621,-90.2631786,10/22/2018
B,Home2 Suites by Hilton St. Louis/ Forest Park,920 S Taylor Ave,Saint Louis,63110,MO,Hotels,38.631178,-90.260228,10/22/2018
B,Hampton Inn & Suites St. Louis at Forest Park,5650 Oakland Ave,Saint Louis,63110,MO,Hotels,38.629815,-90.281295,10/22/2018
B,Walgreens,4925 Southwest Ave,Saint Louis,63110,MO,Pharmacy,38.61285,-90.26878,10/22/2018
B,Anthonino's Taverna,2225 Macklind Ave,Saint Louis,63110,MO,Restaurant,38.61439,-90.2779599,10/22/2018
B,Adriana's,5101 Shaw Ave,Saint Louis,63110,MO,Restaurant,38.617961,-90.270662,10/22/2018
B,Starbucks,3635 Vista Ave,Saint Louis,63110,MO,Coffee & Tea,38.6230316,-90.2393265,10/22/2018
B,Subway,1151 S Kingshighway Blvd,Saint Louis,63110,MO,Fast Food,38.62704,-90.26522,10/22/2018
B,Southern Commercial Bank,5515 S Grand Blvd,Saint Louis,63111,MO,Banks & Credit Unions,38.56949,-90.25406,10/22/2018
B,Burger King,932 Loughborough Ave,Saint Louis,63111,MO,Fast Food,38.556979,-90.261185,10/22/2018
B,Carondelet Park Rec Complex,930 Holly Hills,St. Louis,63111,MO,Child Care & Day Care,38.5607134,-90.2565509,10/22/2018
B,Bates Amoco,504 Bates St,Saint Louis,63111,MO,Gas Stations/Convenience Stores,38.56418,-90.24668,10/22/2018
B,Circle K,8200 S Broadway,Saint Louis,63111,MO,Gas Stations/Convenience Stores,38.54263,-90.26286,10/22/2018
B,Universal Food Market,4330 S Broadway,Saint Louis,63111,MO,Grocery,38.5766411,-90.2318192,10/22/2018
B,Schnucks Loughborough Pharmacy,1020 Loughborough Ave,Saint Louis,63111,MO,Pharmacy,38.55644,-90.26254,10/22/2018
B,Stacked STL,7637 Ivory Ave,Saint Louis,63111,MO,Restaurant,38.5491133,-90.2622763,10/22/2018
B,Schnucks - Loughborough,1020 Loughborough,Saint Louis,63111,MO,Grocery,38.5578594,-90.2614073,10/22/2018
B,Starbucks,1042 Loughborough Ave,Saint Louis,63111,MO,Coffee & Tea,38.55772,-90.26219,10/22/2018
B,Subway,4230 S Broadway,Saint Louis,63111,MO,Fast Food,38.5780978,-90.2308312,10/22/2018
B,Washington University in St. Louis North Campus,700 Rosedale Ave,Saint Louis,63112,MO,Colleges & Universities,38.65851345,-90.29813591,10/22/2018
B,Olive You Nanny,,Saint Louis,63112,MO,Child Care & Day Care,38.65488434,-90.28244019,10/22/2018
B,Monsanto Family YMCA,5555 Page Blvd,St. Louis,63112,MO,Child Care & Day Care,38.664405,-90.276832,10/22/2018
B,Moonrise Hotel,6177 Delmar In The Lp,Saint Louis,63112,MO,Hotels,38.6556869,-90.2987689,10/22/2018
B,Subway,307 Debaliviere Ave,Saint Louis,63112,MO,Fast Food,38.64929,-90.28551,10/22/2018
B,Advance Loans,1408 N Kingshighway Blvd,Saint Louis,63113,MO,Title Loans,38.66159,-90.26095,10/22/2018
B,Save-A Lot,3645 Page Blvd,Saint Louis,63113,MO,Grocery,38.64711,-90.2282,10/22/2018
B,Burger King,5030 Natural Bridge Ave,Saint Louis,63115,MO,Fast Food,38.67649,-90.25325,10/22/2018
B,McDonald's,4979 Natural Bridge Rd,St. Louis,63115,MO,Fast Food,38.67621634,-90.25068932,10/22/2018
B,Imran Pharmacy,3737 N Kingshighway Blvd,Saint Louis,63115,MO,Pharmacy,38.67743,-90.25185,10/22/2018
B,Subway,4963 Natural Bridge Ave,Saint Louis,63115,MO,Fast Food,38.67616653,-90.25022888,10/22/2018
B,Taco Bell,5031 Natural Bridge,Saint Louis,63115,MO,Fast Food,38.676636,-90.252526,10/22/2018
B,St. Louis Community Credit Union,4435 Chippewa St,Saint Louis,63116,MO,Banks & Credit Unions,38.59128,-90.2681,10/22/2018
B,Charley's Angels Learning & Development Center,3196 Morganford Rd,Saint Louis,63116,MO,Child Care & Day Care,38.60097751,-90.26162133,10/22/2018
B,Burlington Coat Factory,4930 Christy Blvd,Saint Louis,63116,MO,Department Stores,38.5845024,-90.2764454,10/22/2018
B,Big Lots - Saint Louis: Bevo,4930 Christy Blvd,Saint Louis,63116,MO,Department Stores,38.5845024,-90.2764454,10/22/2018
B,Local Harvest Grocery,3108 Morgan Ford Rd,Saint Louis,63116,MO,Grocery,38.604148,-90.261073,10/22/2018
B,Gustine Market,3150 Gustine Ave,Saint Louis,63116,MO,Grocery,38.60199738,-90.24953461,10/22/2018
B,Aldi,3721 S Grand Ave,Saint Louis,63116,MO,Grocery,38.58935145,-90.2443667,10/22/2018
B,Aldi,6601 Gravois,Saint Louis,63116,MO,Grocery,38.57284546,-90.28283691,10/22/2018
B,McDonald's,7241 Gravois Ave,St. Louis,63116,MO,Fast Food,38.56566452,-90.29255792,10/22/2018
B,Advance Credit,3729 Gravois Ave,Saint Louis,63116,MO,Title Loans,38.5918285,-90.2476706,10/22/2018
B,CVS/pharmacy,7320 Gravois Ave,Saint Louis,63116,MO,Pharmacy,38.56422043,-90.29335785,10/22/2018
B,Walgreens,3631 Gravois Ave,Saint Louis,63116,MO,Pharmacy,38.59216176,-90.24509557,10/22/2018
